symbol,side,confirmation_type,confidence,entry_time,exit_time,entry_ms,exit_ms,entry_price,avg_entry,exit_price,tp_price,tp_mode,sl_price,sl_mode,exit_reason,dca_count,fill_count,margin_used,gross_pnl,fees,net_pnl,roi_on_margin,result,duration_hours,max_adverse_roi,dca_blocked_count,last_dca_block_reason,skip_reason
XRPUSDT,BUY,REVERSAL,86.03,2026-03-13T04:00:00+00:00,2026-03-13T08:59:59.999000+00:00,1773374400000,1773392399999,1.41208236,1.41208236,1.42711095,1.42739643,STRUCTURE_4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+1d_pivot+4h_20_range+4h_ema200,1.35269286,STRUCTURE_SL,TP,0,1,2.0,0.4257,0.0322,0.3935,19.68,WIN,5.0,7.48,0,,OK
XRPUSDT,BUY,REVERSAL,92.91,2026-03-24T08:00:00+00:00,2026-03-26T18:59:59.999000+00:00,1774339200000,1774551599999,1.4307861,1.4307861,1.34568081,1.445375,STRUCTURE_4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_20_range+4h_ema200,1.34595,STRUCTURE_SL,SL,0,1,2.0,-2.3793,0.031,-2.4103,-120.52,LOSS,59.0,134.03,0,,OK
XRPUSDT,BUY,REVERSAL,91.18,2026-04-17T12:00:00+00:00,2026-04-17T13:59:59.999000+00:00,1776427200000,1776434399999,1.44688932,1.44688932,1.4652926,1.46558571,STRUCTURE_1d_pivot+1d_20_range+4h_pivot+4h_pivot+4h_100_range+4h_50_range+4h_20_range,1.37287143,STRUCTURE_SL,TP,0,1,2.0,0.5088,0.0322,0.4766,23.83,WIN,2.0,10.8,0,,OK
XRPUSDT,BUY,REVERSAL,100.0,2026-04-24T16:00:00+00:00,2026-04-27T13:59:59.999000+00:00,1777046400000,1777298399999,1.44738942,1.44738942,1.39981998,1.46815,STRUCTURE_1d_pivot+4h_pivot+4h_pivot+4h_20_range,1.4001,STRUCTURE_SL,SL,0,1,2.0,-1.3146,0.0315,-1.3461,-67.31,LOSS,70.0,75.29,0,,OK
XRPUSDT,BUY,REVERSAL,96.82,2026-05-01T04:00:00+00:00,2026-05-01T13:59:59.999000+00:00,1777608000000,1777643999999,1.37607516,1.37607516,1.39157699,1.39185536,STRUCTURE_1d_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_20_range+1d_ema50+4h_ema200+4h_ema50,1.33611071,STRUCTURE_SL,TP,0,1,2.0,0.4506,0.0322,0.4184,20.92,WIN,10.0,9.63,0,,OK
XRPUSDT,BUY,REVERSAL,100.0,2026-05-06T04:00:00+00:00,2026-05-07T21:59:59.999000+00:00,1778040000000,1778191199999,1.4217843,1.4217843,1.379724,1.45765,STRUCTURE_1d_pivot+1d_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_100_range,1.38,STRUCTURE_SL,SL,0,1,2.0,-1.1833,0.0315,-1.2148,-60.74,LOSS,42.0,60.89,0,,OK
XRPUSDT,BUY,REVERSAL,100.0,2026-05-11T12:00:00+00:00,2026-05-14T17:59:59.999000+00:00,1778500800000,1778781599999,1.4572914,1.4572914,1.48779702,1.48809464,STRUCTURE_1d_pivot+1d_pivot+1d_50_range+1d_20_range+4h_pivot+4h_pivot+4h_100_range+4h_50_range+4h_20_range,1.40028929,STRUCTURE_SL,TP,0,1,2.0,0.8373,0.0323,0.805,40.25,WIN,78.0,64.35,0,,OK
XRPUSDT,BUY,REVERSAL,93.0,2026-05-29T16:00:00+00:00,2026-05-30T00:59:59.999000+00:00,1780070400000,1780102799999,1.32236442,1.32236442,1.3365862,1.33685357,STRUCTURE_4h_pivot+4h_pivot+4h_ema50,1.25490714,STRUCTURE_SL,TP,0,1,2.0,0.4302,0.0322,0.398,19.9,WIN,9.0,18.4,0,,OK
XRPUSDT,BUY,REVERSAL,100.0,2026-05-31T04:00:00+00:00,2026-06-01T08:59:59.999000+00:00,1780200000000,1780304399999,1.34436882,1.34436882,1.30072552,1.36329286,STRUCTURE_1d_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_50_range+4h_20_range+4h_ema200,1.30098571,STRUCTURE_SL,SL,0,1,2.0,-1.2986,0.0315,-1.33,-66.5,LOSS,29.0,68.98,0,,OK
XRPUSDT,BUY,REVERSAL,90.94,2026-06-13T08:00:00+00:00,2026-06-13T12:59:59.999000+00:00,1781337600000,1781355599999,1.14112818,1.14112818,1.15234091,1.15257143,STRUCTURE_4h_pivot+4h_pivot+4h_20_range+4h_ema50,1.11594286,STRUCTURE_SL,TP,0,1,2.0,0.393,0.0322,0.3609,18.04,WIN,5.0,8.71,0,,OK
XRPUSDT,BUY,REVERSAL,98.53,2026-06-17T16:00:00+00:00,2026-06-17T22:59:59.999000+00:00,1781712000000,1781737199999,1.21304256,1.21304256,1.17193342,1.24768393,STRUCTURE_4h_pivot+4h_pivot+4h_ema200,1.17216786,STRUCTURE_SL,SL,0,1,2.0,-1.3556,0.0315,-1.387,-69.35,LOSS,7.0,70.14,0,,OK
